DATE,MDSTHPI
1975-01-01,61.89
1975-04-01,62.3
1975-07-01,65.11
1975-10-01,66.8
1976-01-01,66.96
1976-04-01,69.7
1976-07-01,70.53
1976-10-01,71.54
1977-01-01,72.1
1977-04-01,73.48
1977-07-01,76.69
1977-10-01,77.14
1978-01-01,81.94
1978-04-01,83.43
1978-07-01,85.76
1978-10-01,88.31
1979-01-01,91.11
1979-04-01,94.76
1979-07-01,96.83
1979-10-01,98.05
1980-01-01,100.00
1980-04-01,103.11
1980-07-01,104.95
1980-10-01,107.65
1981-01-01,110.64
1981-04-01,112.89
1981-07-01,111.33
1981-10-01,114.26
1982-01-01,106.74
1982-04-01,108.45
1982-07-01,106.79
1982-10-01,110.96
1983-01-01,113.51
1983-04-01,115.51
1983-07-01,116.67
1983-10-01,118.1
1984-01-01,118.85
1984-04-01,122.78
1984-07-01,124.21
1984-10-01,124.67
1985-01-01,126.7
1985-04-01,128.55
1985-07-01,130.82
1985-10-01,131.07
1986-01-01,133.72
1986-04-01,137.58
1986-07-01,141.01
1986-10-01,144.81
1987-01-01,148.91
1987-04-01,153.23
1987-07-01,160.11
1987-10-01,162.44
1988-01-01,167.92
1988-04-01,173.8
1988-07-01,179.47
1988-10-01,183.69
1989-01-01,188.33
1989-04-01,193.02
1989-07-01,196.57
1989-10-01,199.8
1990-01-01,202.2
1990-04-01,202.84
1990-07-01,203.83
1990-10-01,202.63
1991-01-01,204.03
1991-04-01,206.16
1991-07-01,205.57
1991-10-01,209.63
1992-01-01,210.38
1992-04-01,209.03
1992-07-01,211.0
1992-10-01,211.68
1993-01-01,211.11
1993-04-01,211.8
1993-07-01,212.46
1993-10-01,213.31
1994-01-01,213.73
1994-04-01,211.69
1994-07-01,209.71
1994-10-01,207.89
1995-01-01,207.93
1995-04-01,210.74
1995-07-01,213.11
1995-10-01,214.72
1996-01-01,217.3
1996-04-01,214.89
1996-07-01,213.14
1996-10-01,215.69
1997-01-01,216.47
1997-04-01,215.41
1997-07-01,217.26
1997-10-01,219.78
1998-01-01,222.54
1998-04-01,222.31
1998-07-01,223.6
1998-10-01,225.82
1999-01-01,228.29
1999-04-01,229.18
1999-07-01,231.22
1999-10-01,233.77
2000-01-01,238.25
2000-04-01,240.81
2000-07-01,245.25
2000-10-01,249.06
2001-01-01,254.79
2001-04-01,259.78
2001-07-01,266.65
2001-10-01,270.96
2002-01-01,277.73
2002-04-01,286.86
2002-07-01,295.78
2002-10-01,301.82
2003-01-01,307.6
2003-04-01,314.25
2003-07-01,323.81
2003-10-01,341.35
2004-01-01,350.84
2004-04-01,367.3
2004-07-01,394.3
2004-10-01,407.82
2005-01-01,425.99
2005-04-01,451.78
2005-07-01,475.21
2005-10-01,494.35
2006-01-01,507.94
2006-04-01,518.36
2006-07-01,525.35
2006-10-01,532.19
2007-01-01,533.88
2007-04-01,534.91
2007-07-01,527.15
2007-10-01,524.24
2008-01-01,516.21
2008-04-01,498.4
2008-07-01,478.17
2008-10-01,470.95
2009-01-01,466.36
2009-04-01,448.21
2009-07-01,437.05
2009-10-01,429.43
2010-01-01,426.17
2010-04-01,420.89
2010-07-01,426.33
2010-10-01,422.21
2011-01-01,409.53
2011-04-01,401.46
2011-07-01,407.51
2011-10-01,409.32
2012-01-01,403.46
2012-04-01,399.52
2012-07-01,404.95
2012-10-01,406.43
2013-01-01,406.49
2013-04-01,410.21
2013-07-01,412.02
2013-10-01,412.52
2014-01-01,413.77
2014-04-01,420.52
2014-07-01,423.17
2014-10-01,426.99
2015-01-01,429.32
2015-04-01,432.24
2015-07-01,432.37
2015-10-01,433.48
2016-01-01,437.3
2016-04-01,442.21
2016-07-01,447.73
2016-10-01,449.3
2017-01-01,447.31
2017-04-01,455.7
2017-07-01,459.39
2017-10-01,462.27
2018-01-01,464.89
2018-04-01,469.17
2018-07-01,470.02
2018-10-01,468.08
2019-01-01,473.21
2019-04-01,480.78
2019-07-01,485.97
2019-10-01,487.68
2020-01-01,492.66
2020-04-01,497.43
2020-07-01,503.74
2020-10-01,513.14
2021-01-01,523.75
2021-04-01,547.71
